Abbreviation,Meaning
 2/ 2,secondary to
5HT,Serotonin
A&B,Apnea and Bradycardia
A&I,Allergy and Immunology
A1AT,Alpha-1 AntiTrypsin
AA,Age Appropriate
AAC,Augmentative and Alternative Communication
AAL,Anterior Axillary Line
AAP,American Academy of Pediatrics
ABA,Applied Behavioral Analysis
ABC OMI,"Airway, Breathing, Circulation; Oxygen, Monitor, IV access"
ABD,Abdomen
ABD,"Apnea, Bradycardia, Desaturations"
ABG,Arterial Blood Gas
ABPM,Ambulatory Blood Pressure Monitoring
ABR,Autditory Brainstem Response
AC,Before meals
ACA,Affordable Care Act
ACC,Agenesis of the Corpus Callosum
ACD,Alveolar Capillary Dysplasia
ACEI,Angiotensin-Converting Enzyme Inhibitor
ACEs,Adverse Childhood Experiences
ACL,Anterior Cruciate Ligament
ACh,Acetylcholine
ACOG,American College of Obstetricians and Gynecologists
ACPA,Anti-Citrullinated Peptide Antibody
ACS,Acute Chest Syndrome
ACT,Alternate Cover Test
ACTH,Adrenocorticotropic Hormone
ADAT,Advance Diet As Tolerated
ADEM,Acute Disseminated Encephalomyelopathy
ADEs,Adverse Drug Events
ADH,Anti-Diuretic Hormone (also AVP)
ADHD,Attention Deficit Hyperactivity Disorder
ADOS,Autism Diagnostic Observation Schedule 
ADTKD,Autosomal Dominant Tubulointerstitial Kidney Disease
AE,Adverse Event
AED,Anti-Epileptic Drug
AED,Automated External Defibrillator
AF,AFebrile
Afib,Atrial fibrillation
AFO,Ankle-Foot Orthoses
AFOSF,Anterior Fontanel Open Soft and Flat
AFSF,Anterior Fontanel Soft and Flat
AFVSS,"AFebrile, Vital Signs Stable"
AGA,Appropriate for Gestational Age
AGEP,Acute Generalized Exanthematous Pustulosis
AGMA,Anion Gap Metabolic Acidosis
AHA,American Heart Association
AHO,Albright Hereditary Osteodystrophy
AHRF,Acute Hypoxic Respiratory Failure
AI,Adrenal Insufficiency
AID,Automated Insulin Delivery
AIDS,Acquired Immunodeficiency Syndrome
AIIS,Anterior Inferior Iliac Spine
AIS,Androgen Insensitivity Syndrome
AITFL,Anterior Inferior Tibiofibular Ligament
ALADP,delta-aminolevulinic dehydratase
ALL,Acute Lymphoblastic Leukemia
ALP,Alkaline Phosphatase
ALS,Advanced Life Support
ALS,Amyotrophic Lateral Sclerosis
ALT,Alanine Aminotransferase
AKI,Acute Kidney Injury
AMA,Against Medical Advice
AMR,Antibody Mediated Rejection
ANA,AntiNuclear Antibody
ANC,Absolute Neutrophil Count
ANCA,Anti-Neutrophil Cytoplasmic Antibody
ANP,Atrial Natriuretic Peptide
ANS,Autonomic Nervous System
AOC,Ativan On Call
AOCD,Anemia of Chronic Disease
AODA,Alcohol and Other Drug Abuse
AOT,Assisted Outpatient Treatment
AP,Anteroposterior (rays travel anterior to posterior)
APGAR,"Activity, Pulse, Grimace, Appearance, Respiration"
APLAS,Antiphospholipid Antibody Syndrome
APP,Advanced Practice Provider
ARA,Arachidonic acid
ARB,Angiotensin Receptor Blocker
ARDS,Acute Respiratory Distress Syndrome
ARF,Acute Renal Failure
ARFID,Avoidant/Restrictive Food Intake Disorder
ARM,AnoRectal Manometry
AROM,Artificial Rupture of Membrane
ASA,AcetylSalicylic Acid (aspirin)
ASA,ArgininoSuccinic Acid
ASC,Ambulatory Surgery Center
ASCVD,Atherosclerotic Cardiovascular Disease
ASD,Atrial Septal Defect
ASD,Autism Spectrum Disorder
ASIS,Anterior Superior Iliac Spine
ASL,American Sign Language
ASM,Anti-Seizure Medication
ASPEN,American Society for Parenteral and Enteral Nutrition
ASQ,Ages and Stages Questionnaire
AST,Aspartate Aminotransferase
AT,Ataxia Telangiectasia
AT III,Antithrombin III
ATC,Around The Clock
ATFL,Anterior Tibiofibular Ligament
ATP,Adenosine Triphosphate
ATTEST,"Associated symptoms, Timing, Triggers, Examination Signs, and additional Testing"
AUC,Area Under the Curve
AV,Aortic Valve
AV,Atrioventricular
AV node,Atrioventricular node
AVF,ArterioVenous Fistula
AVM,ArterioVenous Malformation
AVNRT,Atrioventricular Nodal Re-entry Tachycardia
AVP,Arginine Vasopressin/Vasopressin (also ADH)
AVRT,Atrioventricular Re-entry Tachycardia
AVS,Acute Vestibular Syndrome
AVS,After Visit Summary
AVS,Aortic Valve Stenosis
AWC,AirWay Clearance
β-hCG,β-Human Chorionic Gonadotropin (beta)
BBB,Blood-Brain Barrier
BCC,Basal Cell Carcinoma
BCR,BulboCavernosus Responses
BCx,Blood Culture
BDNF,Brain-Derived Neurotrophic Factor
BED,Binge Eating Disorder
BEP,Brief Eclectic Psychotherapy
BESD,"Behavioral, Emotional, and Social Difficulties"
BFP,Binocular Fixation Preference
BIBA,Brought In By Ambulance
bid,Bis In Die (twice a day)
BIP,Behavior Intervention Plan
BIRDs,Brief potentially Ictal Rhythmic Discharges
BL,Burkitt Lymphoma
BLL,Blood Lead Level
BM,Bowel Movement
BM&T,Bilateral Myringotomy & Tubes (ear tubes)
BMI,Body Mass Index
BMP,Basic Metabolic Panel
BNP,B-Natiuretic Peptide
BP,Blood Pressure
BPA,Bisphenol-A
BPD,Borderline Personality Disorder
BPD,BronchoPulmonary Dysplasia
BPEWS,Bedside Pediatric Early Warning Signs
BPH,Benign Prostatic Hyperplasia
BPPV,Benign Paroxysmal Positional Vertigo
BRAT,"Bananas, Rice, Apple sauce and Toast (diet)"
BRUE,Brief Resolved Unexplained Event
BSE,Breast Self Exam
BTT,Bilateral Tympanostomy Tubes
BTX,Botulinum Toxin
BUN,Blood Urea Nitrogen
BUR,Back-Up Rate
BW,Birth Weight
Bx,Biopsy
c/b,caused by
c/b,complicated by
c/d/i,clean/dry/intact
c/f,concern for
c/o,complains of
c/s,consult
c/w,consistent with
cffDNA,Cell-Free Fetal DNA
cx,cancel
C1-C7,Cervical vertebrae 1-7
C5VD,"Cisplatin, 5-flourouracil, Vincristine, and Doxorubicin"
CA,Corrected Age
CAD,Coronary Artery Disease
CAGE,"Cutting down, Annoyance, Guilty, Eye-Opener (alcohol use)"
CAGE-AID,CAGE Adapted to Include Drugs
CAH,Congenital Adrenal Hyperplasia
CAM,Controlled Ankle Motion
Cap,Capillary
CAP,Community-Acquired Pneumonia
CAPA,Clinically Aligned Pain Assessment
CAPD,Cornell Assessment of Pediatric Delirium
CAST,Cardiac Arrhythmia Suppression Trial
CAT,Cognitive Adaptive Test
CBAVD,Congenital Bilateral Absence of the Vas Deferens
CBC,Complete Blood Count
CBD,Cannabidiol
CBE,Clinical Breast Exam
CBG,Capillary Blood Gas
CBT,Cognitive Behavioral Therapy
CC,Chief Concern/Complaint
CCB,Calcium Channel Blocker
CCHD,Critical Congenital Heart Defects
CCK,Cholecystokinin
CCU,Cardiac Care Unit
CD,Cardiac Diet
CDC,Centers for Disease Control
CDGP,Constitutional Delay of Growth and Puberty
CDH,Congenital Diaphragmatic Hernia 
CDS,Clinical Decision Support
CDS,Croup Distress Score
CEA,CarcinoEmbryonic Antigen
CF,Cystic Fibrosis
CFC,Cardiofacio-Cutaneous Syndrome
CFL,CalcaneoFibular Ligament
CFTR,Cystic Fibrosis Transmembrane conductance Regulator
CGRP,Calcitonin Gene-Related Peptide
CHARGE,"Coloboma and cranial nerve palsies, Heart defects, Atresia of the nasal choanae, Restricted growth and development, Genitourinary anomalies, Ear malformations and hearing loss"
CHD,Congential Heart Disease
CHD,Coronary Heart Disease
CHF,Congestive Heart Failure
CHG,ChlorHexidine Gluconate
CHI,Concurrent Head Injury
CHO,Carbohydrates
CIB,Carnation Instant Breakfast
CIC,Clean Intermittent Catheterization
CICU,Cardiac Intensive Care Unit
