Brand,Generic
Abilify,Aripiprazole
Actigall,Ursodiol
Adderall,Amphetamine/Dextroamphetamine
Aldactazide,Spironolactone/Hydrochlorothiazide
Aldactone,Spironolactone
Aloxi,Palonosetron
Alvesco,Ciclesonide
Ambisome,Amphotericin B liposome
Amicar,Aminocaproic acid
Ancef,Cefazolin
Aristada,Aripiprazole (injection)
Atarax,Hydroxyzine
Ativan,Lorazepam
Augmentin,Amoxicillin and clavulanate potassium
Avastin,Bevacizumab
Bactrim,Sulfamethoxazole/Trimethoprim
Bactroban,Mupirocin
Banzel,Rufinamide
Benadryl,Diphenhydramine
Betadine,Povidone-iodine
Beyfortus,Nirsevimab (RSV immunization)
Bicitra,Sodium Citrate/Citric Acid
BiDil,Hydralazine/Isosorbide dinitrate
Brilinta,Ticagrelor
Bumex,Bumetanide
BuSpar,Buspirone
Caplyta,Lumateperone
Cardizem,Diltiazem
Carnitor,Levocarnitine
Catapres,Clonidine
Celexa,Citalopram
CellCept,Mycophenolate mofetil
Cleocin,Clindamycin
Cogentin,Benztropine
Compazine,Prochlorperazine
Concerta,Methylphenidate
Coreg,Carvedilol
Coumadin,Warfarin
Cozaar,Losartan
Creon,Pancrelipase
Crestor,Rosuvastatin
Culturelle,Lactobacillus rhamnosus GG
Curosurf,Poractant alfa systemic (pulmonary surfactant)
Cuvposa,Glycopyrrolate
Cymbalta,Duloxetine
Cytotec,Misoprostol
Cytoxan,Cyclophosphamide
Decadron,Dexamethasone
Deltasone,Prednisone
Depakote,Divalproex sodium
Desferal,Deferoxamine
Desitin,Zinc oxide-cod liver oil
Diamox,Acetazolamide
Diastat,Diazepam rectal gel
Differin,Adapalene
Dilantin,Phenytoin
Dilaudid,Hydromorphone
Diprivan,Propofol (“Prop” pronounced like row with p’s on both ends)
Ditropan,Oxybutynin
Diuril,Chlorothiazide
Dolophine,Methadone
DuoNeb,Albuterol/Ipratropium
Dupixent,Dupilumab
Effer-K,Potassium bicarbonate
Effexor,Venlafaxine
Effient,Prasugrel
Emend,Aprepitant
Engerix-B,Hepatitis B vaccine
Entresto,Sacubitril/Valsartan
Epidiolex,Cannabidiol (CBD)
Exelon,Rivastigmine
Farxiga,Dapagliflozin
Flagyl,Metronidazole
Flovent,Fluticasone propionate
Focalin,Dexmethylphenidate
Garamycin,Gentamicin
Haldol,Haloperidol
Humalog,Insulin lispro
Imdur,Isosorbide mononitrate
Intuniv,Guanfacine
Invega,Paliperidone
Invega Sustenna,Paliperidone
Jadenu,Deferasirox
Januvia,Sitagliptin
Jardiance,Empagliflozin
Keflex,Cephalexin
Kefzol,Cefazolin
Kenalog,Triamcinolone
Keppra,Levetiracetam
Klonopin,Clonazepam
Kytril,Granisetron
Lamictal,Lamotrigine
Lantus,Insulin glargine
Lasix,Furosemide
Latuda,Lurasidone
Levaquin,Levofloxacin
Levsin,Hyoscyamine
Lexapro,Escitalopram
Librium,Chlordiazepoxide
Lipitor,Atorvastatin
Lopressor,Metoprolol
Lumizyme,Alglucosidase alfa
Lybalvi,Olanzapine/samidorphan
Lyrica,Pregabalin
Macrobid,Nitrofurantoin
MiraLAX,Polyethylene glycol 3350
Motrin,Ibuprofen
Mucomyst,Acetylcysteine
