Abbreviation,Meaning
 2/ 2,secondary to
5HT,Serotonin
A&B,Apnea and Bradycardia
A&I,Allergy and Immunology
AAC,Augmentative and Alternative Communication
AAL,Anterior Axillary Line
ABA,Applied Behavioral Analysis
ABC OMI,"Airway, Breathing, Circulation; Oxygen, Monitor, IV access"
ABD,Abdomen
ABD,"Apnea, Bradycardia, Desaturations"
ABG,Arterial Blood Gas
ABPM,Ambulatory Blood Pressure Monitoring
ABR,Autditory Brainstem Response
ACA,Affordable Care Act
ACEI,Angiotensin-Converting Enzyme Inhibitor
ACEs,Adverse Childhood Experiences
ACh,Acetylcholine
ACPA,Anti-Citrullinated Peptide Antibody
ACTH,Adrenocorticotropic Hormone
ADEM,Acute Disseminated Encephalomyelopathy
ADEs,Adverse Drug Events
ADH,Anti-Diuretic Hormone (also AVP)
ADHD,Attention Deficit Hyperactivity Disorder
ADOS,Autism Diagnostic Observation Schedule 
ADTKD,Autosomal Dominant Tubulointerstitial Kidney Disease
AE,Adverse Event
AED,Anti-Epileptic Drug
AF,AFebrile
Afib,Atrial fibrillation
AFO,Ankle-Foot Orthoses
AFOSF,Anterior Fontanel Open Soft and Flat
AFSF,Anterior Fontanel Soft and Flat
AFVSS,"AFebrile, Vital Signs Stable"
AGA,Appropriate for Gestational Age
AGEP,Acute Generalized Exanthematous Pustulosis
AGMA,Anion Gap Metabolic Acidosis
AHO,Albright Hereditary Osteodystrophy
AHRF,Acute Hypoxic Respiratory Failure
AI,Adrenal Insufficiency
AID,Automated Insulin Delivery
AIDS,Acquired Immunodeficiency Syndrome
AIIS,Anterior Inferior Iliac Spine
AIS,Androgen Insensitivity Syndrome
AITFL,Anterior Inferior Tibiofibular Ligament
ALADP,delta-aminolevulinic dehydratase
ALL,Acute Lymphoblastic Leukemia
ALS,Amyotrophic Lateral Sclerosis
AMA,Against Medical Advice
AMR,Antibody Mediated Rejection
ANC,Absolute Neutrophil Count
ANCA,Anti-Neutrophil Cytoplasmic Antibody
ANP,Atrial Natriuretic Peptide
ANS,Autonomic Nervous System
AOC,Ativan On Call
AOCD,Anemia of Chronic Disease
AODA,Alcohol and Other Drug Abuse
AP,Anteroposterior (rays travel anterior to posterior)
APGAR,"Activity, Pulse, Grimace, Appearance, Respiration"
APLAS,Antiphospholipid Antibody Syndrome
APP,Advanced Practice Provider
ARB,Angiotensin Receptor Blocker
ARDS,Acute Respiratory Distress Syndrome
ARF,Acute Renal Failure
AROM,Artificial Rupture of Membrane
ASA,AcetylSalicylic Acid (aspirin)
ASC,Ambulatory Surgery Center
ASCVD,Atherosclerotic Cardiovascular Disease
ASD,Atrial Septal Defect
ASD,Autism Spectrum Disorder
ASIS,Anterior Superior Iliac Spine
ASM,Anti-Seizure Medication
ASQ,Ages and Stages Questionnaire
ATFL,Anterior Tibiofibular Ligament
ATP,Adenosine Triphosphate
ATTEST,"Associated symptoms, Timing, Triggers, Examination Signs, and additional Testing"
AV,Aortic Valve
AV,Atrioventricular
AV node,Atrioventricular node
AVM,Arteriovenous Malformation
AVNRT,Atrioventricular Nodal Re-entry Tachycardia
AVP,Arginine Vasopressin/Vasopressin (also ADH)
AVRT,Atrioventricular Re-entry Tachycardia
AVS,Acute Vestibular Syndrome
AVS,After Visit Summary
AVS,Aortic Valve Stenosis
AWC,AirWay Clearance
β-hCG,β-Human Chorionic Gonadotropin
BBB,Blood-Brain Barrier
BCC,Basal Cell Carcinoma
BCx,Blood Culture
BDNF,Brain-Derived Neurotrophic Factor
BED,Binge Eating Disorder
BEP,Brief Eclectic Psychotherapy
BESD,"Behavioral, Emotional, and Social Difficulties"
BIBA,Brought In By Ambulance
bid,Bis In Die (twice a day)
BIP,Behavior Intervention Plan
BIRDs,Brief potentially Ictal Rhythmic Discharges
BL,Burkitt Lymphoma
BLL,Blood Lead Level
BM&T,Bilateral Myringotomy & Tubes (ear tubes)
BMI,Body Mass Index
BNP,B-Natiuretic Peptide
BP,Blood Pressure
BPA,Bisphenol-A
BPD,Borderline Personality Disorder
BPEWS,Bedside Pediatric Early Warning Signs
BPH,Benign Prostatic Hyperplasia
BPPV,Benign Paroxysmal Positional Vertigo
BRAT,"Bananas, Rice, Apple sauce and Toast (diet)"
BRUE,Brief Resolved Unexplained Event
BSE,Breast Self Exam
BTT,Bilateral Tympanostomy Tubes
BTX,Botulinum Toxin
BUR,Back-Up Rate
BW,Birth Weight
c/b,caused by
c/b,complicated by
c/d/i,clean/dry/intact
c/f,concern for
c/o,complains of
c/s,consult
c/w,consistent with
C1-C7,Cervical vertebrae 1-7
CA,Corrected Age
CAD,Coronary Artery Disease
CAGE,"Cutting down, Annoyance, Guilty, Eye-Opener (alcohol use)"
CAGE-AID,CAGE Adapted to Include Drugs
CAH,Congenital Adrenal Hyperplasia
CAM,Controlled Ankle Motion
Cap,Capillary
CAP,Community-Acquired Pneumonia
CAPD,Cornell Assessment of Pediatric Delirium
CAST,Cardiac Arrhythmia Suppression Trial
CBAVD,Congenital Bilateral Absence of the Vas Deferens
CBC,Complete Blood Count
CBD,Cannabidiol
CBE,Clinical Breast Exam
CBG,Capillary Blood Gas
CBT,Cognitive Behavioral Therapy
CC,Chief Concern/Complaint
CCB,Calcium Channel Blocker
CCHD,Critical Congenital Heart Defects
CCK,Cholecystokinin
CCU,Cardiac Care Unit
CDGP,Constitutional Delay of Growth and Puberty
CDS,Croup Distress Score
CF,Cystic Fibrosis
CFL,CalcaneoFibular Ligament
CFTR,Cystic Fibrosis Transmembrane conductance Regulator
CGRP,Calcitonin Gene-Related Peptide
CHD,Congential Heart Disease
CHD,Coronary Heart Disease
CHF,Congestive Heart Failure
CHG,ChlorHexidine Gluconate
CHI,Concurrent Head Injury
CIB,Carnation Instant Breakfast
CIC,Clean Intermittent Catheterization
CIS,Culture If Spikes (get a blood culture for fevers)
CIT,Crisis Intervention Team
CIWA,Clinical Instrument Withdrawal Assessment
CJD,Creutzfeldt-Jakob Disease
CKD,Chronic Kidney Disease
CKD-MBD,Chronic Kidney Disease with Mineral and Bone Disorder
CLIA,Clinical Laboratory Improvement Amendments
CLL,Chronic Lymphocytic Leukemia
CMA,Chromosomal Microarray
CML,Chronic Myelogenous Leukemia
CMO,Comfort Measures Only
CMP,Comprehensive Metabolic Panel
CNI,CalciNeurin Inhibitor
CNO,Chronic Nonbacterial Osteomyelitis (aka CRMO)
CNS,Central Nervous System
CO,Cardiac Output
COP,Cryptogenic Organizing Pneumonia
COPD,Chronic Obstructive Pulmonary Disease
COX,Cyclooxygenase
CP/CPPS,Chronic Prostatitis/Chronic Pelvic Pain Syndrome
CPAM,Congenital Pulmonary Airway Malformation
CPAP,Continuous Positive Airway Pressure
CPOE,Computerized Provider Order Entry
CPT,Chest PhysioTherapy
CPT,Cognitive Processing Therapy 
CREST,"Calcinosis, Raynaud, Esophageal dysmotility, Sclerodactyly, Telangiectasia"
CRH,Corticotropin Releasing Hormone
CRMO,Chronic Recurrent Multifocal Osteomyelitis (aka CNO)
CRP,C-Reactive Protein
CRPP,Closed Reduction Percutaneous Pinning
CRPS,Complex Regional Pain Syndrome
CRRT,Continuous Renal Replacement Therapy
CSF,Cerebrospinal Fluid
CSF,Colony-Stimulating Factor
CSII,Cutaneous Subcutaneous Insulin Infusion
CT,Chest Tube
CT,Computed Tomography
CT,Connective Tissue
CTAB,Clear To Auscultation Bilaterally
CTL,Cytotoxic T-Lymphocyte
CTLA-4,Cytotoxic T-Lymphocyte-Associated protein 4
CTSIB,Clinical Test for Sensory Integration and Balance
CTX,Ceftriaxone
Cu-IUD,Copper-based Intrauterine Device
